feature_set,model,Val_MAE,Val_MSE,Val_RMSE,Val_R2
all_features,Baseline Dummy Regressor,0.2503559908048837,0.08216803713903054,0.2866496766770033,-0.0018533645341345384
all_features,Ridge Regression (alpha=0.0001),0.09707262133399651,0.015487921623232415,0.12445047859784394,0.8111598265196257
all_features,KNN Regression (k=5),0.09375698744415703,0.01593435354731868,0.12623134930483265,0.8057165989489768
all_features,Random Forest Regression,0.07206513068503659,0.00907457671292306,0.09526057270940093,0.8893560619419181
selected_features,Baseline Dummy Regressor,0.2503559908048837,0.08216803713903054,0.2866496766770033,-0.0018533645341345384
selected_features,Ridge Regression (alpha=0.0001),0.09709102689388678,0.015496163888275339,0.12448358883111998,0.8110593307398535
selected_features,KNN Regression (k=5),0.07956279898732564,0.011023583533419578,0.10499325470438364,0.8655923320464293
selected_features,Random Forest Regression,0.07216423032791688,0.009093068796454606,0.0953575838434186,0.8891305928088051
