model,CV_R2_mean,CV_R2_std,Val_MAE,Val_MSE,Val_RMSE,Val_R2
Baseline Dummy Regressor,-0.0011810672041636216,0.0008971375581118821,0.2503559908048837,0.08216803713903054,0.2866496766770033,-0.0018533645341345384
Ridge Regression (alpha=0.1),0.8040849266621256,0.00425104732462425,0.09707267247305011,0.01548795560916992,0.12445061514178996,0.8111594121379875
KNN Regression (k=15),0.8177098515340475,0.00557306380073357,0.09022965315185365,0.014262293342612557,0.1194248439086799,0.8261035912651502
Random Forest Regression,0.882190978754301,0.0033095802424091335,0.0721082241795444,0.009109320651599145,0.0954427611272806,0.8889324381939039
