model,CV_R2_mean,CV_R2_std,Val_MAE,Val_MSE,Val_RMSE,Val_R2
Baseline Dummy Regressor,-0.0011810672041636216,0.0008971375581118821,0.2503559908048837,0.08216803713903054,0.2866496766770033,-0.0018533645341345384
Ridge Regression (alpha=0.1),0.8042095992148605,0.004318388039611865,0.09709106272752441,0.015496196472381391,0.12448371970816663,0.8110589334503792
KNN Regression (k=15),0.8754500525854214,0.0022388792632556066,0.07519631938297404,0.00991808445656182,0.09958958006017407,0.879071392861346
Random Forest Regression,0.8832024149757464,0.0032304599332259923,0.07220719633172729,0.009127614852927313,0.09553855165809932,0.8887093817866895
